id,title,content,type,category,tags,difficulty,image,source
25,赤壁之战借东风是史实还是演义?,正史无借东风记载，属于三国演义艺术加工，实际依靠冬季季风气象规律。,article,典籍探疑,历史谜团,中,,典籍解读
26,曹操到底是奸臣还是乱世英雄?,治世之能臣、乱世之奸雄，军事政治能力顶尖，形象被后世戏曲固化黑化。,article,典籍探疑,人物评价,难,,典籍解读
27,玄武门之变李世民是否被逼?,史料有篡改痕迹，李世民主动谋划夺权，并非完全被动自卫。,article,典籍探疑,历史事件,中,,典籍解读
28,安史之乱完整历史脉络精讲,从起因、经过、变局、影响完整梳理，看懂唐朝由盛转衰底层逻辑。,video,首页内容,唐朝,中,,历史纪录片
29,史记列传人物故事通俗解读,逐篇拆解史记名人传记，抛开晦涩古文看懂真实历史人物。,podcast,首页内容,史记,中,,历史播客
30,宋朝经济为何能达到古代巅峰,从商业政策、纸币发行、海外贸易、市井文化多维度深度解析。,article,首页内容,宋朝,难,,深度长文
31,明朝宦官专权是如何形成的,从皇权制衡、内阁制度、司礼监权责，拆解明朝宦官乱政根源。,article,首页内容,明朝,中,,深度长文
32,清朝闭关锁国的始末与危害,从海禁政策到一口通商，错失工业革命，拉开中外近代差距。,article,首页内容,清朝,难,,深度长文
33,唐朝贞观之治盛世解析,贞观年间轻徭薄赋、任人唯贤、政治清明，开启盛唐百年基业。,article,分类浏览,唐朝,中,,正史梳理
34,宋朝杯弓蛇影成语典故溯源,典故出自宋代文人笔记，比喻疑神疑鬼、自相惊扰。,article,分类浏览,宋朝-成语,易,,成语溯源
35,明朝锦衣卫制度职能详解,明朝特设特务机构，监察百官、侦缉办案、强化皇权专制。,article,分类浏览,明朝-官制,中,,制度研究
36,清朝八旗制度起源与兴衰,八旗源于女真部落兵制，入关后特权固化，后期逐渐腐朽没落。,article,分类浏览,清朝-制度,中,,正史梳理
37,元朝行省制度历史意义,行省制奠定后世省级行政区划雏形，加强中央对边疆管控。,article,分类浏览,元朝-政治,中,,制度研究
