id,title,optionA,optionB,optionC,optionD,answer,analysis,exam_type,knowledge_point,difficulty,tags,language,section,topic_order
"11","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 11)","tentative","skeptical","meticulous","pragmatic","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"12","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 12)","concise","pragmatic","candid","innovative","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"13","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 13)","candid","tentative","lucid","impartial","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"14","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 14)","innovative","skeptical","resilient","tentative","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"15","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 15)","concise","meticulous","innovative","lucid","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"16","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 16)","pragmatic","lucid","skeptical","impartial","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"17","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 17)","skeptical","concise","resilient","candid","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"18","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 18)","impartial","meticulous","tentative","concise","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"19","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 19)","pragmatic","innovative","impartial","resilient","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"20","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 20)","lucid","resilient","meticulous","candid","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"21","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 21)","meticulous","pragmatic","tentative","skeptical","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"22","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 22)","candid","innovative","concise","pragmatic","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"23","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 23)","lucid","impartial","candid","tentative","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"24","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 24)","resilient","tentative","innovative","skeptical","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"25","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 25)","innovative","lucid","concise","meticulous","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"26","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 26)","skeptical","impartial","pragmatic","lucid","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"27","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 27)","resilient","candid","skeptical","concise","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"28","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 28)","tentative","concise","impartial","meticulous","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"29","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 29)","impartial","resilient","pragmatic","innovative","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"30","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 30)","meticulous","candid","lucid","resilient","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"31","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 31)","tentative","skeptical","meticulous","pragmatic","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"32","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 32)","concise","pragmatic","candid","innovative","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"33","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 33)","candid","tentative","lucid","impartial","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"34","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 34)","innovative","skeptical","resilient","tentative","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"35","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 35)","concise","meticulous","innovative","lucid","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"36","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 36)","pragmatic","lucid","skeptical","impartial","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"37","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 37)","skeptical","concise","resilient","candid","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"38","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 38)","impartial","meticulous","tentative","concise","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"39","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 39)","pragmatic","innovative","impartial","resilient","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"40","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 40)","lucid","resilient","meticulous","candid","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"41","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 41)","meticulous","pragmatic","tentative","skeptical","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"42","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 42)","candid","innovative","concise","pragmatic","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"43","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 43)","lucid","impartial","candid","tentative","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"44","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 44)","resilient","tentative","innovative","skeptical","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"45","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 45)","innovative","lucid","concise","meticulous","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"46","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 46)","skeptical","impartial","pragmatic","lucid","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"47","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 47)","resilient","candid","skeptical","concise","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"48","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 48)","tentative","concise","impartial","meticulous","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"49","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 49)","impartial","resilient","pragmatic","innovative","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"50","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 50)","meticulous","candid","lucid","resilient","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"51","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 51)","tentative","skeptical","meticulous","pragmatic","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"52","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 52)","concise","pragmatic","candid","innovative","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"53","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 53)","candid","tentative","lucid","impartial","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"54","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 54)","innovative","skeptical","resilient","tentative","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"55","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 55)","concise","meticulous","innovative","lucid","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"56","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 56)","pragmatic","lucid","skeptical","impartial","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"57","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 57)","skeptical","concise","resilient","candid","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"58","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 58)","impartial","meticulous","tentative","concise","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"59","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 59)","pragmatic","innovative","impartial","resilient","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"60","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 60)","lucid","resilient","meticulous","candid","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"61","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 61)","meticulous","pragmatic","tentative","skeptical","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"62","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 62)","candid","innovative","concise","pragmatic","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"63","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 63)","lucid","impartial","candid","tentative","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"64","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 64)","resilient","tentative","innovative","skeptical","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"65","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 65)","innovative","lucid","concise","meticulous","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"66","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 66)","skeptical","impartial","pragmatic","lucid","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"67","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 67)","resilient","candid","skeptical","concise","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"68","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 68)","tentative","concise","impartial","meticulous","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"69","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 69)","impartial","resilient","pragmatic","innovative","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"70","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 70)","meticulous","candid","lucid","resilient","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"71","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 71)","tentative","skeptical","meticulous","pragmatic","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"72","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 72)","concise","pragmatic","candid","innovative","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"73","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 73)","candid","tentative","lucid","impartial","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"74","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 74)","innovative","skeptical","resilient","tentative","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"75","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 75)","concise","meticulous","innovative","lucid","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"76","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 76)","pragmatic","lucid","skeptical","impartial","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"77","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 77)","skeptical","concise","resilient","candid","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"78","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 78)","impartial","meticulous","tentative","concise","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"79","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 79)","pragmatic","innovative","impartial","resilient","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"80","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 80)","lucid","resilient","meticulous","candid","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"81","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 81)","meticulous","pragmatic","tentative","skeptical","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"82","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 82)","candid","innovative","concise","pragmatic","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"83","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 83)","lucid","impartial","candid","tentative","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"84","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 84)","resilient","tentative","innovative","skeptical","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"85","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 85)","innovative","lucid","concise","meticulous","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"86","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 86)","skeptical","impartial","pragmatic","lucid","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"87","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 87)","resilient","candid","skeptical","concise","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"88","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 88)","tentative","concise","impartial","meticulous","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
